latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-16.75026,137.16582,348.19,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,301.06,10.8,D
-16.75204,137.15742,343.05,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,301.16,4.81,D
-16.75294,137.15318,329.44,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,298.28,4.81,D
-16.74533,137.16031,335.97,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,299.88,6.67,D
-16.74623,137.15613,344.01,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,301.11,6.65,D
-16.87425,136.4117,338.81,0.4,0.6,2026-07-17,0521,N,nominal,2.0NRT,306.5,6.06,D
-16.87746,136.39644,344.16,0.4,0.6,2026-07-17,0521,N,nominal,2.0NRT,307.29,2.75,D
-16.87826,136.39267,336.06,0.4,0.6,2026-07-17,0521,N,nominal,2.0NRT,303.64,2.75,D
-16.86787,136.41443,344.5,0.4,0.6,2026-07-17,0521,N,nominal,2.0NRT,307.44,5,D
-16.86149,136.41713,355.54,0.4,0.6,2026-07-17,0521,N,nominal,2.0NRT,306.1,5,D
-16.85593,136.41592,367,0.4,0.6,2026-07-17,0521,N,high,2.0NRT,307,7.8,D
-16.8512,136.41087,338.03,0.4,0.6,2026-07-17,0521,N,nominal,2.0NRT,306.63,7.8,D
-16.84564,136.40968,330.08,0.4,0.6,2026-07-17,0521,N,low,2.0NRT,303.48,2.29,D
-16.84644,136.40594,338.3,0.4,0.6,2026-07-17,0521,N,nominal,2.0NRT,305.84,3.36,D
-16.86392,136.41638,339.63,0.4,0.6,2026-07-17,0521,N,nominal,2.0NRT,306.57,6.83,D
-16.85836,136.41516,367,0.4,0.6,2026-07-17,0521,N,high,2.0NRT,308.65,6.83,D
-16.85756,136.41907,349.41,0.4,0.6,2026-07-17,0521,N,nominal,2.0NRT,303.72,12.49,D
-16.85281,136.41393,350.39,0.4,0.6,2026-07-17,0521,N,nominal,2.0NRT,303.72,4.3,D
-16.84804,136.40892,342.67,0.4,0.6,2026-07-17,0521,N,nominal,2.0NRT,306.09,4.3,D
-16.84326,136.40396,337.58,0.4,0.6,2026-07-17,0521,N,nominal,2.0NRT,304.1,2.65,D
-16.84237,136.35201,337.27,0.4,0.6,2026-07-17,0521,N,nominal,2.0NRT,304.84,4.72,D
-16.84475,136.34048,340.8,0.4,0.6,2026-07-17,0521,N,nominal,2.0NRT,303.46,4.53,D
-16.8131,136.40947,331.32,0.4,0.6,2026-07-17,0521,N,low,2.0NRT,303.53,3.08,D
-16.8139,136.40562,332.83,0.4,0.6,2026-07-17,0521,N,low,2.0NRT,305.38,3.19,D
-16.78297,136.38693,335.87,0.4,0.6,2026-07-17,0521,N,nominal,2.0NRT,303.33,6.29,D
-16.77822,136.38193,333.53,0.4,0.6,2026-07-17,0521,N,nominal,2.0NRT,301.38,2.42,D
-16.77901,136.37817,333.83,0.4,0.6,2026-07-17,0521,N,nominal,2.0NRT,303.12,2.42,D
-16.77979,136.37447,330.99,0.4,0.6,2026-07-17,0521,N,low,2.0NRT,302.11,1.77,D
-16.59811,137.08762,330.76,0.45,0.63,2026-07-17,0521,N,low,2.0NRT,301.92,4.21,D
-16.59904,137.08328,352,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,302.67,4.21,D
-16.76967,136.28526,355.31,0.4,0.6,2026-07-17,0521,N,nominal,2.0NRT,305.74,4.72,D
-16.77047,136.28148,344.23,0.4,0.6,2026-07-17,0521,N,nominal,2.0NRT,304.64,4.72,D
-16.76576,136.27649,367,0.4,0.6,2026-07-17,0521,N,high,2.0NRT,305.84,9.86,D
-16.59417,137.07768,330.21,0.45,0.63,2026-07-17,0521,N,low,2.0NRT,300.75,2.31,D
-16.76496,136.28029,331.65,0.4,0.6,2026-07-17,0521,N,nominal,2.0NRT,305.05,6.8,D
-16.76812,136.26537,337.71,0.4,0.6,2026-07-17,0521,N,nominal,2.0NRT,302.5,4.92,D
-16.76416,136.25684,367,0.4,0.6,2026-07-17,0521,N,high,2.0NRT,307.11,15.73,D
-16.76263,136.26408,330.81,0.4,0.6,2026-07-17,0521,N,low,2.0NRT,304.75,4.92,D
-16.7634,136.26044,346.19,0.4,0.6,2026-07-17,0521,N,nominal,2.0NRT,305.33,15.73,D
-16.76493,136.25322,350.33,0.39,0.6,2026-07-17,0521,N,nominal,2.0NRT,302.94,17.05,D
-16.77093,136.28493,353.9,0.4,0.6,2026-07-17,0521,N,nominal,2.0NRT,305.87,4.91,D
-16.77171,136.28113,337.48,0.4,0.6,2026-07-17,0521,N,nominal,2.0NRT,303.63,4.91,D
